Includes,Retail (#31313),Education (#45544)
Motor - large #95658 #6009430,2,2
Motor - medium #6008577,1,1
Color sensor #6008919,1,1
Gyro sensor #6008916,$29.99,1
Ultrasonic sensor #45504 #6008924,$29.99,1
Touch sensor #6008472,1,2
Infrared sensor #45509,1,$29.95
Rechargeable battery #95656 #45501 #6012820,$79.99,1
Charger #8887,$22.00,1
Ball Wheel,1,1
Remote #45508,1,$29.95
Technic Elements,550,540
Software #2000045,1,
Ed Software #5003824,,$99.99
Total Pieces,601,
Cable 20 in. #6024585,1,1
Cable 10 in #6024581,2,2
Cable 14 in. #6024583,2,2
,,
,,
,,
,,
,,
,,
