PartID,BricksetUrl,DesignID,Name,Image,45544,45560,31313,Over/Under,Not needed,PPU
4278359,http://brickset.com/parts/4278359,2654,,,,2,,2,,
4211375,http://brickset.com/parts/4211375,2736,,,,2,6,-4,,
4121715,http://brickset.com/parts/4121715,2780,,,60,170,95,135,,
6028041,http://brickset.com/parts/6028041,2815,,,4,,3,1,,
4514558,http://brickset.com/parts/4514558,3648,,,4,3,2,5,,
4285634,http://brickset.com/parts/4285634,3649,,,2,2,,4,,
4211807,http://brickset.com/parts/4211807,3673,,,10,,4,6,,
370526,http://brickset.com/parts/370526,3705,,,4,5,,9,,
370626,http://brickset.com/parts/370626,3706,,,4,1,9,-4,,
370726,http://brickset.com/parts/370726,3707,,,2,1,,3,,
370826,http://brickset.com/parts/370826,3708,,,2,1,,3,,
373726,http://brickset.com/parts/373726,3737,,,2,1,,3,,
403226,http://brickset.com/parts/403226,4032,,,,4,,4,,
4494222,http://brickset.com/parts/4494222,4185,,,,,3,-3,X,
4587275,http://brickset.com/parts/4587275,4185,,,4,,,4,,
4211815,http://brickset.com/parts/4211815,4519,,,14,12,22,4,,
4211510,http://brickset.com/parts/4211510,4716,,,2,1,2,1,,
611649,http://brickset.com/parts/611649,6116,,,,2,,2,,
4178398,http://brickset.com/parts/4178398,6116,,,,2,,2,,
4188298,http://brickset.com/parts/4188298,6536,,,,,8,-8,X,
4211775,http://brickset.com/parts/4211775,6536,,,8,4,,12,,
4207456,http://brickset.com/parts/4207456,6538,,,,1,,1,,
4278957,http://brickset.com/parts/4278957,6539,,,,1,,1,,
4237267,http://brickset.com/parts/4237267,6542,,,,2,,2,,
4210665,http://brickset.com/parts/4210665,6553,,,,2,,2,,
4514553,http://brickset.com/parts/4514553,6558,,,30,33,38,25,,
4666579,http://brickset.com/parts/4666579,6562,,,8,6,,14,,
4143187,http://brickset.com/parts/4143187,6575,,,,,2,-2,X,
4210759,http://brickset.com/parts/4210759,6575,,,,2,,2,,
4565452,http://brickset.com/parts/4565452,6589,,,2,3,1,4,,
4211622,http://brickset.com/parts/4211622,6590,,,10,45,,55,,
4227155,http://brickset.com/parts/4227155,6590,,,,,9,-9,X,
4184169,http://brickset.com/parts/4184169,6628,,,,8,6,2,,
4112282,http://brickset.com/parts/4112282,6629,,,4,2,,6,,
4211566,http://brickset.com/parts/4211566,6632,,,,10,1,9,,
4270473,http://brickset.com/parts/4270473,6641,,,,1,,1,,
6005331,http://brickset.com/parts/6005331,10197,,,,2,,2,,
6005755,http://brickset.com/parts/6005755,10288,,,,5,,5,,
6012451,http://brickset.com/parts/6012451,10928,,,4,2,,6,,
6030286,http://brickset.com/parts/6030286,11478,,,,4,,4,,
6022750,http://brickset.com/parts/6022750,11946,,,,2,,2,,
6022752,http://brickset.com/parts/6022752,11947,,,,2,,2,,
6031916,http://brickset.com/parts/6031916,11954,,,,4,,4,,
6031821,http://brickset.com/parts/6031821,13670,,,2,16,4,14,,
6044729,http://brickset.com/parts/6044729,13971,,,,1,,1,,
6044688,http://brickset.com/parts/6044688,13972,,,,,2,-2,,
6036424,http://brickset.com/parts/6036424,14149,,,,28,,28,,
6013938,http://brickset.com/parts/6013938,32002,,,,6,,6,,
4629920,http://brickset.com/parts/4629920,32005,,,,2,,2,,
4629921,http://brickset.com/parts/4629921,32005,,,,,2,-2,X,
4111998,http://brickset.com/parts/4111998,32009,,,,,12,-12,,
4234240,http://brickset.com/parts/4234240,32009,,,,4,,4,,
4495412,http://brickset.com/parts/4495412,32009,,,4,2,,6,,
4107085,http://brickset.com/parts/4107085,32013,,,4,6,,10,,
4254606,http://brickset.com/parts/4254606,32013,,,,,4,-4,X,
4107767,http://brickset.com/parts/4107767,32014,,,2,2,,4,,
4189131,http://brickset.com/parts/4189131,32014,,,,,1,-1,X,
4107084,http://brickset.com/parts/4107084,32015,,,,3,,3,,
4107082,http://brickset.com/parts/4107082,32016,,,,4,,4,,
4107783,http://brickset.com/parts/4107783,32034,,,4,5,,9,,
4234429,http://brickset.com/parts/4234429,32034,,,,,6,-6,X,
4107081,http://brickset.com/parts/4107081,32039,,,,22,,22,,
4211553,http://brickset.com/parts/4211553,32039,,,,,2,-2,X,
4140806,http://brickset.com/parts/4140806,32054,,,22,,10,12,,
4142865,http://brickset.com/parts/4142865,32062,,,10,22,12,20,,
6013936,http://brickset.com/parts/6013936,32068,,,,,4,-4,,
4248204,http://brickset.com/parts/4248204,32072,,,4,,4,0,,
4211639,http://brickset.com/parts/4211639,32073,,,6,8,9,5,,
4239601,http://brickset.com/parts/4239601,32123,,,10,16,11,15,,
4119589,http://brickset.com/parts/4119589,32138,,,,4,,4,,
4211888,http://brickset.com/parts/4211888,32138,,,,,4,-4,X,
4120017,http://brickset.com/parts/4120017,32140,,,,,8,-8,X,
4141270,http://brickset.com/parts/4141270,32140,,,6,4,,10,,
4211610,http://brickset.com/parts/4211610,32140,,,,8,,8,,
4121667,http://brickset.com/parts/4121667,32184,,,8,4,,12,,
4128598,http://brickset.com/parts/4128598,32184,,,,,17,-17,,
4189936,http://brickset.com/parts/4189936,32192,,,,,4,-4,,
6031962,http://brickset.com/parts/6031962,32198,,,,1,1,0,,
4177430,http://brickset.com/parts/4177430,32269,,,2,1,4,-1,,
4177431,http://brickset.com/parts/4177431,32270,,,2,2,2,2,,
4140327,http://brickset.com/parts/4140327,32271,,,,,12,-12,,
4211624,http://brickset.com/parts/4211624,32271,,,4,,,4,,
4128594,http://brickset.com/parts/4128594,32291,,,,,2,-2,X,
4140430,http://brickset.com/parts/4140430,32291,,,4,,,4,,
4141300,http://brickset.com/parts/4141300,32293,,,,,4,-4,,
4142135,http://brickset.com/parts/4142135,32316,,,,,10,-10,,
4211651,http://brickset.com/parts/4211651,32316,,,4,5,,9,,
4128593,http://brickset.com/parts/4128593,32348,,,,,4,-4,X,
4509912,http://brickset.com/parts/4509912,32348,,,6,,,6,,
4142236,http://brickset.com/parts/4142236,32449,,,2,,,2,,
4268659,http://brickset.com/parts/4268659,32494,,,,2,,2,,
4255563,http://brickset.com/parts/4255563,32498,,,2,,5,-3,,
4142822,http://brickset.com/parts/4142822,32523,,,2,,12,-10,X,
4153707,http://brickset.com/parts/4153707,32523,,,4,,,4,,
4153718,http://brickset.com/parts/4153718,32523,,,4,2,,6,,
4208160,http://brickset.com/parts/4208160,32523,,,,1,,1,,
4211655,http://brickset.com/parts/4211655,32523,,,,10,,10,,
4509376,http://brickset.com/parts/4509376,32523,,,4,,,4,,
6007973,http://brickset.com/parts/6007973,32523,,,4,,,4,,
4495930,http://brickset.com/parts/4495930,32524,,,4,16,,20,,
4495935,http://brickset.com/parts/4495935,32524,,,,,6,-6,X,
4142823,http://brickset.com/parts/4142823,32526,,,,,6,-6,X,
4211713,http://brickset.com/parts/4211713,32526,,,2,6,,8,,
